step,t_s,leg,clearance,contact,L_ee_x,L_ee_y,L_ee_z,L_ee_dx,L_ee_dy,L_ee_dz,L_ee_step_dist,L_ee_cum_dist,R_ee_x,R_ee_y,R_ee_z,R_ee_dx,R_ee_dy,R_ee_dz,R_ee_step_dist,R_ee_cum_dist,q_WaistYaw,q_WaistRoll,q_WaistPitch,q_LeftShoulderPitch,q_LeftShoulderRoll,q_LeftShoulderYaw,q_LeftElbow,q_LeftWristRoll,q_LeftWristPitch,q_LeftWristYaw,q_RightShoulderPitch,q_RightShoulderRoll,q_RightShoulderYaw,q_RightElbow,q_RightWristRoll,q_RightWristPitch,q_RightWristYaw,u_aWaistYaw,u_aWaistRoll,u_aWaistPitch,u_aLeftShoulderPitch,u_aLeftShoulderRoll,u_aLeftShoulderYaw,u_aLeftElbow,u_aLeftWristRoll,u_aLeftWristPitch,u_aLeftWristYaw,u_aRightShoulderPitch,u_aRightShoulderRoll,u_aRightShoulderYaw,u_aRightElbow,u_aRightWristRoll,u_aRightWristPitch,u_aRightWristYaw,phi_max,n_active
0,0.000000,1,0.044321374076,0,0.249793404,0.240528580,0.915846602,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.249793404,-0.240518580,0.915846602,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-2.068997633,-2.053546688,1.153161719,-0.977283480,1.606201080,4.103997283,4.861410835,0.064181493,1.094019273,0.348352043,-1.747716225,1.195040820,0.839795521,1.634347654,0.010064514,0.111328471,0.090548654,141.818178942,76
1,0.010000,1,0.044206931496,0,0.249864958,0.240645976,0.915719327,0.000071554,0.000117396,-0.000127276,0.000187352,0.000187352,0.249871000,-0.240414399,0.915941650,0.000077596,0.000104181,0.000095048,0.000160963,0.000160963,-0.000211681,-0.000227046,0.000054089,-0.000112506,0.500321899,0.000144191,0.000598584,0.000022994,0.000153707,0.000018537,-0.000622986,-0.499657969,0.000250565,0.000147987,0.000000843,0.000002177,0.000026659,0.293694495,-1.982388354,3.133682362,-2.651236804,1.587425640,2.113264880,2.777591170,0.052094901,1.046328939,0.324839182,-2.646263477,-6.670595685,-2.449074637,4.219735653,-0.633843099,1.805352890,-0.292145245,-0.023025593,0
2,0.020000,1,0.044088836685,0,0.250009319,0.240898816,0.915493867,0.000144361,0.000252840,-0.000225459,0.000368239,0.000555591,0.249941685,-0.240313767,0.916042046,0.000070686,0.000100632,0.000100395,0.000158753,0.000319715,-0.000630261,-0.000659446,0.000223495,-0.000322740,0.500804418,0.000698781,0.001683308,0.000052406,0.000416817,0.000071908,-0.001420744,-0.499196434,0.000585110,0.000459409,0.000002692,0.000015488,0.000062372,0.277629608,-1.878197316,2.971570409,-2.510831413,1.506784498,2.002593041,2.632366301,0.049314394,0.991110472,0.307958763,-2.523030814,-6.333899907,-2.323894477,4.008596150,-0.602265521,1.715075272,-0.277706771,-0.022620004,0
3,0.030000,1,0.043942024785,0,0.250221194,0.241266208,0.915180877,0.000211875,0.000367392,-0.000312990,0.000527097,0.001082688,0.250092671,-0.240393465,0.916168825,0.000150986,-0.000079698,0.000126779,0.000212654,0.000532369,-0.001019473,-0.001290085,0.000706269,-0.000798098,0.501445680,0.001464698,0.003045792,0.000087027,0.000784559,0.000157764,-0.002483128,-0.499401959,0.000674747,0.001192805,-0.000058843,0.000209333,0.000068871,0.259362893,-1.775304599,2.814074557,-2.371948435,1.430345314,1.895535838,2.493970902,0.046700919,0.938233174,0.291687118,-2.408275762,-6.002116922,-2.207618379,3.800099609,-0.570029834,1.624875242,-0.264971226,-0.022199145,0
4,0.040000,1,0.043767849224,0,0.250496771,0.241741968,0.914784692,0.000275576,0.000475760,-0.000396185,0.000677682,0.001760370,0.250319781,-0.240644713,0.916321319,0.000227110,-0.000251248,0.000152494,0.000371429,0.000903798,-0.001380921,-0.002108544,0.001486200,-0.001524539,0.502237620,0.002430874,0.004671512,0.000126580,0.001251412,0.000274416,-0.003797816,-0.500240874,0.000531995,0.002327060,-0.000180605,0.000574686,0.000047599,-0.397556857,-2.030874532,2.088148724,-1.398628059,1.669269780,2.208198954,2.203966435,0.024492917,0.840497675,0.315814781,-5.247676776,-2.735973675,-3.751828772,5.074373564,-0.054621030,2.154922840,-0.263278818,-0.021762353,0
5,0.050000,1,0.043567463212,0,0.250832282,0.242320069,0.914309383,0.000335511,0.000578100,-0.000475309,0.000820174,0.002580545,0.250618915,-0.241059112,0.916499765,0.000299134,-0.000414399,0.000178446,0.000541341,0.001445139,-0.001716433,-0.003104533,0.002547538,-0.002488175,0.503172595,0.003586604,0.006546630,0.000170802,0.001812089,0.000420236,-0.005353331,-0.501680000,0.000168481,0.003841325,-0.000359370,0.001102527,-0.000000170,-0.255332768,-1.875084248,2.097124235,-1.433612235,1.590142708,1.964122413,2.054409969,0.038428724,0.778816271,0.285391761,-4.451042459,-3.091793328,-3.140837128,4.506910110,-0.160962011,1.909858707,-0.244305665,-0.020762948,0
6,0.060000,1,0.043287375779,0,0.251218208,0.242999697,0.913756501,0.000385926,0.000679629,-0.000552882,0.000957346,0.003537891,0.251023622,-0.241627920,0.916753827,0.000404706,-0.000568808,0.000254061,0.000742884,0.002188023,-0.002091700,-0.004303610,0.003817691,-0.003591673,0.504274496,0.004963154,0.008642144,0.000217475,0.002456815,0.000597638,-0.007433613,-0.503392724,-0.000570216,0.005863028,-0.000543596,0.001845860,-0.000074266,-0.306097387,-1.735538984,1.933283302,-1.281165666,1.583928971,1.788199295,2.028621151,0.052840468,0.744506495,0.258078724,-4.322443087,-2.892406906,-2.863732785,4.282508158,-0.174076539,1.777046915,-0.232263862,-0.019832926,0
7,0.070000,1,0.042942544527,0,0.251651757,0.243773832,0.913129857,0.000433549,0.000774135,-0.000626644,0.001086248,0.004624139,0.251521411,-0.242339589,0.917072263,0.000497789,-0.000711669,0.000318436,0.000925023,0.003113047,-0.002492501,-0.005690195,0.005297557,-0.004838533,0.505535412,0.006536116,0.010943099,0.000267990,0.003179423,0.000803579,-0.009959000,-0.505414627,-0.001622996,0.008335421,-0.000743919,0.002780179,-0.000172794,-0.580084359,-1.611344151,1.578890630,-0.893555624,1.704703185,1.638985014,2.137558783,0.078917949,0.746223798,0.226503098,-4.902578457,-2.121734314,-2.854456064,4.468165416,-0.110568028,1.787671213,-0.226749517,-0.018866904,0
8,0.080000,1,0.042535909771,0,0.252129505,0.244636262,0.912431556,0.000477748,0.000862430,-0.000698300,0.001208161,0.005832299,0.252106708,-0.243185101,0.917455389,0.000585297,-0.000845512,0.000383126,0.001097383,0.004210430,-0.002923912,-0.007250334,0.006970751,-0.006213509,0.506954721,0.008287898,0.013446916,0.000323789,0.003976482,0.001035328,-0.012916631,-0.507725771,-0.002962150,0.011236066,-0.000961650,0.003892202,-0.000294547,-1.127737212,-1.339655478,0.978422321,-0.340130909,2.081317511,1.150619131,2.768495765,0.146980358,0.879124352,0.163697075,-6.120773112,-0.934071611,-2.999397264,5.096946690,0.016381110,1.928834743,-0.234355188,-0.017760619,0
9,0.090000,1,0.042059749637,0,0.252647052,0.245581264,0.911661149,0.000517547,0.000945002,-0.000770407,0.001324542,0.007156841,0.252780649,-0.244157574,0.917913753,0.000673941,-0.000972473,0.000458364,0.001268857,0.005479286,-0.003413331,-0.008971608,0.008801834,-0.007677841,0.508544500,0.010203578,0.016164489,0.000387480,0.004848163,0.001289727,-0.016364520,-0.510249089,-0.004586750,0.014583526,-0.001190437,0.005182993,-0.000438976,0.366683718,-1.413559048,1.002413084,-2.626280872,0.666114490,0.702619163,3.332665004,0.055759299,0.808273018,0.075340369,-4.130795274,-1.426916427,-4.672166814,4.805846706,0.031942819,1.556081789,-0.348362603,-0.016455294,0
